	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-06-13.dat	Date	13/6/2025	Time	15:18:10 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
27150.027	0.000	-4.880	0	0.000
27210.017	0.000	-4.880	0	0.000
27270.021	0.000	-4.871	0	0.000
27330.031	0.000	-4.865	0	0.000
27390.030	0.000	-4.860	0	0.000
27450.035	0.000	-4.860	0	0.000
27510.024	0.000	-4.852	0	0.000
27570.039	0.000	-4.847	0	0.000
27630.053	0.000	-4.840	0	0.000
27690.053	0.000	-4.840	0	0.000
27750.052	0.000	-4.831	0	0.000
27810.042	0.000	-4.823	0	0.000
27870.031	0.000	-4.820	0	0.000
27930.030	0.000	-4.816	0	0.000
27990.050	0.000	-4.802	0	0.000
28050.039	0.000	-4.797	0	0.000
28110.029	0.000	-4.790	0	0.000
28170.033	0.000	-4.790	0	0.000
28230.023	0.000	-4.782	0	0.000
28290.027	0.000	-4.780	0	0.000
28350.027	0.000	-4.780	0	0.000
28410.011	0.000	-4.773	0	0.000
28470.016	0.000	-4.763	0	0.000
28530.040	0.000	-4.758	0	0.000
28590.035	0.000	-4.750	0	0.000
28650.034	0.000	-4.750	0	0.000
28710.054	0.000	-4.740	0	0.000
28770.043	0.000	-4.740	0	0.000
28830.033	0.000	-4.740	0	0.000
28890.027	0.000	-4.730	0	0.000
28950.027	0.000	-4.720	0	0.000
29010.026	0.000	-4.720	0	0.000
29070.036	0.000	-4.719	0	0.000
29130.040	0.000	-4.705	0	0.000
29190.019	0.000	-4.700	0	0.000
29250.029	0.000	-4.690	0	0.000
29310.043	0.000	-4.690	0	0.000
29370.048	0.000	-4.684	0	0.000
29430.037	0.000	-4.677	0	0.000
29490.017	0.000	-4.670	0	0.000
29550.031	0.000	-4.670	0	0.000
29610.031	0.000	-4.661	0	0.000
29670.035	0.000	-4.655	0	0.000
29730.045	0.000	-4.650	0	0.000
29790.024	0.000	-4.649	0	0.000
29850.039	0.000	-4.640	0	0.000
29910.038	0.000	-4.633	0	0.000
29970.018	0.000	-4.630	0	0.000
30030.027	0.000	-4.629	0	0.000
30090.052	0.000	-4.620	0	0.000
30150.041	0.000	-4.615	0	0.000
30210.011	0.000	-4.610	0	0.000
30270.025	0.000	-4.610	0	0.000
30330.025	0.000	-4.601	0	0.000
30390.029	0.000	-4.595	0	0.000
30450.058	0.000	-4.590	0	0.000
30510.043	0.000	-4.590	0	0.000
30570.027	0.000	-4.581	0	0.000
30630.032	0.000	-4.576	0	0.000
30690.041	0.000	-4.570	0	0.000
30750.046	0.000	-4.568	0	0.000
30810.050	0.000	-4.560	0	0.000
30870.060	0.000	-4.551	0	0.000
30930.044	0.000	-4.550	0	0.000
30990.024	0.000	-4.548	0	0.000
31050.033	0.000	-4.540	0	0.000
31110.038	0.000	-4.530	0	0.000
31170.027	0.000	-4.530	0	0.000
31230.032	0.000	-4.522	0	0.000
31290.026	0.000	-4.516	0	0.000
31350.036	0.000	-4.510	0	0.000
31410.045	0.000	-4.510	0	0.000
31470.030	0.000	-4.504	0	0.000
31530.019	0.000	-4.497	0	0.000
31590.014	0.000	-4.490	0	0.000
31650.013	0.000	-4.490	0	0.000
31710.022	0.000	-4.484	0	0.000
31770.037	0.000	-4.474	0	0.000
31830.031	0.000	-4.470	0	0.000
31890.016	0.000	-4.467	0	0.000
31950.015	0.000	-4.460	0	0.000
32010.040	0.000	-4.452	0	0.000
32070.049	0.000	-4.450	0	0.000
32130.029	0.000	-4.447	0	0.000
32190.033	0.000	-4.440	0	0.000
32250.028	0.000	-4.433	0	0.000
32310.012	0.000	-4.430	0	0.000
32370.032	0.000	-4.420	0	0.000
32430.041	0.000	-4.413	0	0.000
32490.021	0.000	-4.410	0	0.000
32550.030	0.000	-4.400	0	0.000
32610.030	0.000	-4.406	0	0.000
32670.004	0.000	-4.397	0	0.000
32730.014	0.000	-4.387	0	0.000
32790.013	0.000	-4.380	0	0.000
32850.023	0.000	-4.380	0	0.000
32910.042	0.000	-4.370	0	0.000
32970.026	0.000	-4.363	0	0.000
33030.021	0.000	-4.360	0	0.000
33090.045	0.000	-4.355	0	0.000
33150.055	0.000	-4.347	0	0.000
33210.029	0.000	-4.340	0	0.000
33270.034	0.000	-4.340	0	0.000
33330.058	0.000	-4.333	0	0.000
33390.048	0.000	-4.327	0	0.000
33450.047	0.000	-4.320	0	0.000
33510.037	0.000	-4.319	0	0.000
33570.021	0.000	-4.310	0	0.000
33630.016	0.000	-4.305	0	0.000
