	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-20-06bis.dat	Date	20/6/2025	Time	16:56:53 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
18330.038	0.000	1.180	0	0.000
18390.052	0.000	1.181	0	0.000
18450.057	0.000	1.191	0	0.000
18510.041	0.000	1.200	0	0.000
18570.026	0.000	1.201	0	0.000
18630.040	0.000	1.210	0	0.000
18690.050	0.000	1.222	0	0.000
18750.034	0.000	1.240	0	0.000
18810.014	0.000	1.240	0	0.000
18870.029	0.000	1.249	0	0.000
18930.043	0.000	1.252	0	0.000
18990.032	0.000	1.260	0	0.000
19050.022	0.000	1.261	0	0.000
19110.016	0.000	1.270	0	0.000
19170.041	0.000	1.275	0	0.000
19230.065	0.000	1.280	0	0.000
19290.069	0.000	1.281	0	0.000
19350.069	0.000	1.290	0	0.000
19410.038	0.000	1.295	0	0.000
19470.038	0.000	1.300	0	0.000
19530.062	0.000	1.304	0	0.000
19590.052	0.000	1.310	0	0.000
19650.056	0.000	1.314	0	0.000
19710.041	0.000	1.320	0	0.000
19770.040	0.000	1.328	0	0.000
19830.055	0.000	1.336	0	0.000
19890.039	0.000	1.340	0	0.000
19950.039	0.000	1.347	0	0.000
20010.023	0.000	1.351	0	0.000
20070.013	0.000	1.360	0	0.000
20130.017	0.000	1.360	0	0.000
20190.038	0.000	1.369	0	0.000
20250.051	0.000	1.376	0	0.000
20310.025	0.000	1.380	0	0.000
20370.030	0.000	1.380	0	0.000
20430.034	0.000	1.390	0	0.000
20490.019	0.000	1.399	0	0.000
20550.013	0.000	1.400	0	0.000
20610.018	0.000	1.405	0	0.000
20670.017	0.000	1.410	0	0.000
20730.042	0.000	1.419	0	0.000
20790.041	0.000	1.423	0	0.000
20850.041	0.000	1.430	0	0.000
20910.070	0.000	1.436	0	0.000
20970.065	0.000	1.440	0	0.000
21030.034	0.000	1.445	0	0.000
21090.039	0.000	1.455	0	0.000
21150.043	0.000	1.460	0	0.000
21210.043	0.000	1.463	0	0.000
21270.052	0.000	1.470	0	0.000
21330.052	0.000	1.477	0	0.000
21390.041	0.000	1.480	0	0.000
21450.031	0.000	1.486	0	0.000
21510.045	0.000	1.490	0	0.000
21570.045	0.000	1.490	0	0.000
21630.030	0.000	1.493	0	0.000
21690.054	0.000	1.500	0	0.000
21750.058	0.000	1.509	0	0.000
21810.028	0.000	1.510	0	0.000
21870.022	0.000	1.517	0	0.000
21930.047	0.000	1.521	0	0.000
21990.056	0.000	1.530	0	0.000
22050.046	0.000	1.530	0	0.000
22110.041	0.000	1.537	0	0.000
22170.025	0.000	1.544	0	0.000
22230.024	0.000	1.550	0	0.000
22290.029	0.000	1.554	0	0.000
22350.028	0.000	1.560	0	0.000
22410.037	0.000	1.570	0	0.000
22470.052	0.000	1.570	0	0.000
22530.062	0.000	1.577	0	0.000
22590.071	0.000	1.580	0	0.000
22650.070	0.000	1.590	0	0.000
22710.045	0.000	1.590	0	0.000
22770.015	0.000	1.596	0	0.000
22830.039	0.000	1.600	0	0.000
22890.053	0.000	1.604	0	0.000
22950.058	0.000	1.611	0	0.000
23010.057	0.000	1.620	0	0.000
23070.042	0.000	1.620	0	0.000
23130.026	0.000	1.621	0	0.000
23190.031	0.000	1.630	0	0.000
23250.035	0.000	1.638	0	0.000
23310.045	0.000	1.640	0	0.000
23370.069	0.000	1.647	0	0.000
23430.069	0.000	1.656	0	0.000
23490.068	0.000	1.660	0	0.000
23550.073	0.000	1.662	0	0.000
23610.062	0.000	1.670	0	0.000
23670.037	0.000	1.678	0	0.000
23730.046	0.000	1.680	0	0.000
23790.056	0.000	1.680	0	0.000
23850.060	0.000	1.690	0	0.000
23910.060	0.000	1.698	0	0.000
23970.059	0.000	1.700	0	0.000
24030.069	0.000	1.707	0	0.000
24090.068	0.000	1.713	0	0.000
24150.043	0.000	1.720	0	0.000
24210.042	0.000	1.720	0	0.000
24270.067	0.000	1.727	0	0.000
24330.076	0.000	1.733	0	0.000
24390.050	0.000	1.740	0	0.000
24450.020	0.000	1.740	0	0.000
24510.015	0.000	1.749	0	0.000
24570.034	0.000	1.757	0	0.000
24630.058	0.000	1.760	0	0.000
24690.043	0.000	1.765	0	0.000
24750.047	0.000	1.770	0	0.000
24810.077	0.000	1.780	0	0.000
24870.071	0.000	1.780	0	0.000
24930.061	0.000	1.783	0	0.000
24990.065	0.000	1.794	0	0.000
25050.040	0.000	1.800	0	0.000
25110.029	0.000	1.802	0	0.000
25170.044	0.000	1.811	0	0.000
25230.043	0.000	1.820	0	0.000
25290.048	0.000	1.820	0	0.000
25350.033	0.000	1.822	0	0.000
25410.047	0.000	1.830	0	0.000
25470.076	0.000	1.840	0	0.000
25530.051	0.000	1.840	0	0.000
25590.055	0.000	1.845	0	0.000
25650.065	0.000	1.854	0	0.000
25710.024	0.000	1.863	0	0.000
25770.039	0.000	1.870	0	0.000
25830.068	0.000	1.874	0	0.000
25890.042	0.000	1.880	0	0.000
25950.032	0.000	1.880	0	0.000
26010.061	0.000	1.883	0	0.000
26070.051	0.000	1.894	0	0.000
26130.040	0.000	1.902	0	0.000
26190.040	0.000	1.910	0	0.000
26250.049	0.000	1.910	0	0.000
26310.084	0.000	1.917	0	0.000
26370.068	0.000	1.920	0	0.000
26430.028	0.000	1.920	0	0.000
26490.042	0.000	1.928	0	0.000
26550.057	0.000	1.939	0	0.000
26610.056	0.000	1.940	0	0.000
26670.071	0.000	1.945	0	0.000
26730.060	0.000	1.953	0	0.000
26790.035	0.000	1.960	0	0.000
26850.049	0.000	1.965	0	0.000
26910.049	0.000	1.970	0	0.000
26970.023	0.000	1.975	0	0.000
27030.028	0.000	1.980	0	0.000
27090.052	0.000	1.988	0	0.000
27150.062	0.000	1.990	0	0.000
27210.046	0.000	1.995	0	0.000
27270.061	0.000	2.000	0	0.000
27330.065	0.000	2.009	0	0.000
27390.050	0.000	2.010	0	0.000
27450.059	0.000	2.012	0	0.000
27510.049	0.000	2.020	0	0.000
27570.018	0.000	2.020	0	0.000
27630.013	0.000	2.028	0	0.000
27690.047	0.000	2.037	0	0.000
27750.046	0.000	2.042	0	0.000
27810.036	0.000	2.050	0	0.000
27870.030	0.000	2.050	0	0.000
27930.035	0.000	2.055	0	0.000
27990.054	0.000	2.060	0	0.000
28050.044	0.000	2.060	0	0.000
28110.029	0.000	2.069	0	0.000
28170.048	0.000	2.076	0	0.000
28230.062	0.000	2.080	0	0.000
28290.062	0.000	2.080	0	0.000
28350.061	0.000	2.090	0	0.000
28410.031	0.000	2.100	0	0.000
28470.045	0.000	2.106	0	0.000
28530.075	0.000	2.110	0	0.000
28590.044	0.000	2.112	0	0.000
28650.019	0.000	2.119	0	0.000
28710.023	0.000	2.120	0	0.000
28770.048	0.000	2.128	0	0.000
28830.072	0.000	2.134	0	0.000
28890.047	0.000	2.140	0	0.000
28950.036	0.000	2.147	0	0.000
29010.036	0.000	2.148	0	0.000
29070.035	0.000	2.153	0	0.000
29130.050	0.000	2.160	0	0.000
29190.064	0.000	2.169	0	0.000
29250.049	0.000	2.170	0	0.000
29310.018	0.000	2.177	0	0.000
29370.018	0.000	2.180	0	0.000
29430.017	0.000	2.189	0	0.000
29490.021	0.000	2.190	0	0.000
29550.056	0.000	2.197	0	0.000
29610.065	0.000	2.201	0	0.000
29670.060	0.000	2.210	0	0.000
29730.049	0.000	2.213	0	0.000
29790.019	0.000	2.223	0	0.000
29850.043	0.000	2.230	0	0.000
29910.058	0.000	2.230	0	0.000
29970.022	0.000	2.238	0	0.000
30030.017	0.000	2.241	0	0.000
30090.026	0.000	2.250	0	0.000
30150.026	0.000	2.251	0	0.000
30210.050	0.000	2.259	0	0.000
30270.065	0.000	2.238	0	0.000
30330.044	0.000	2.246	0	0.000
30390.044	0.000	2.250	0	0.000
30450.053	0.000	2.257	0	0.000
30510.038	0.000	2.261	0	0.000
30570.017	0.000	2.270	0	0.000
30630.032	0.000	2.268	0	0.000
30690.026	0.000	2.276	0	0.000
30750.031	0.000	2.281	0	0.000
30810.060	0.000	2.290	0	0.000
30870.050	0.000	2.290	0	0.000
30930.034	0.000	2.293	0	0.000
30990.044	0.000	2.300	0	0.000
31050.053	0.000	2.293	0	0.000
31110.052	0.000	2.280	0	0.000
31170.037	0.000	2.286	0	0.000
31230.041	0.000	2.296	0	0.000
31290.056	0.000	2.305	0	0.000
31350.046	0.000	2.310	0	0.000
31410.020	0.000	2.313	0	0.000
31470.020	0.000	2.320	0	0.000
31530.049	0.000	2.328	0	0.000
31590.073	0.000	2.330	0	0.000
31650.058	0.000	2.330	0	0.000
31710.022	0.000	2.340	0	0.000
31770.017	0.000	2.340	0	0.000
31830.026	0.000	2.346	0	0.000
31890.031	0.000	2.354	0	0.000
31950.050	0.000	2.360	0	0.000
32010.060	0.000	2.367	0	0.000
32070.029	0.000	2.370	0	0.000
32130.044	0.000	2.369	0	0.000
32190.058	0.000	2.377	0	0.000
32250.053	0.000	2.380	0	0.000
32310.047	0.000	2.384	0	0.000
32370.032	0.000	2.390	0	0.000
32430.036	0.000	2.400	0	0.000
32490.051	0.000	2.400	0	0.000
32550.030	0.000	2.405	0	0.000
32610.050	0.000	2.410	0	0.000
32670.064	0.000	2.416	0	0.000
32730.034	0.000	2.420	0	0.000
32790.018	0.000	2.425	0	0.000
32850.043	0.000	2.430	0	0.000
32910.072	0.000	2.440	0	0.000
32970.077	0.000	2.440	0	0.000
33030.046	0.000	2.444	0	0.000
33090.036	0.000	2.450	0	0.000
33150.035	0.000	2.460	0	0.000
33210.055	0.000	2.460	0	0.000
33270.064	0.000	2.462	0	0.000
33330.033	0.000	2.470	0	0.000
33390.018	0.000	2.470	0	0.000
33450.012	0.000	2.470	0	0.000
33510.031	0.000	2.478	0	0.000
33570.036	0.000	2.483	0	0.000
33630.046	0.000	2.490	0	0.000
33690.075	0.000	2.490	0	0.000
33750.074	0.000	2.492	0	0.000
33810.064	0.000	2.487	0	0.000
33870.043	0.000	2.470	0	0.000
